NO,테이블명_영문,테이블명_한글,도메인,세부그룹
342,M_CRM_CMPG_TRGT_ORNCL_LTRM_CC_CRST,캠페인타겟기반장기계결현황,캠페인/CRM,CRM캠페인
343,M_CRM_CMPG_TRGT_CTM_CRST,캠페인타겟고객현황,캠페인/CRM,CRM캠페인
344,M_CRM_CR_INR_NRDPS_DMGRT_CR,자동차피보험자손해율계약,사고/손해(클레임),사고접수/조사
345,M_CRM_CR_NRDPS_DMGRT_CR,자동차피보험자손해율계약,사고/손해(클레임),사고접수/조사
346,M_CRM_CR_RNWRT_NW_CR,자동차갱신관리계약,캠페인/CRM,CRM계약관리
347,M_CRM_CTM_INFO_CR_LIST,CRM고객계약리스트,고객,고객기본정보
348,M_CRM_CTM_INFO_CVR_LIST,CRM고객계약담보리스트,고객,고객기본정보
349,M_CRM_CTM_INFO_PS_CTM,CRM고객정보부리스트,고객,고객기본정보
350,M_CRM_CTM_MCLI_HLPRM_JS_AVYN_LIST,고객별건강보험가입가능여부리스트,캠페인/CRM,CRM기타
351,M_CRM_DALY_ESSN_TOU_CTM_CRST,데일리필수터치고객현황,캠페인/CRM,CRM기타
352,M_CRM_DYB_XLCL_BZ_FML_CTM_ADM,일별우수영업가족고객관리,고객,영업가족고객
353,M_GD_CSF_INFO,상품분류정보,상품/담보,상품기본
354,M_GD_CSFCL_JS_CTM_CRST,상품분류별가입고객현황,상품/담보,상품기본
355,M_CRM_HWRT_MBR_GRDCL_PS_CTM_CR,HWRT등급별보유실적고객현황,캠페인/CRM,CRM기타
356,M_CRM_IC_GRD_AMSVG_ST_STS,소득신용등급기준통계,캠페인/CRM,CRM기타
357,M_CRM_IC_CRD_GRID_ST_STS,소득신용등급기준통계,캠페인/CRM,CRM기타
358,M_CRM_IC_CRD_PSTNO_ST_STS,소득신용등급우편번호기준통계,캠페인/CRM,CRM기타
359,M_CRM_IC_SCTCL_PS_CTM_CRST,소득구간별보유고객현황,캠페인/CRM,CRM기타
360,M_CRM_LEVE_PRDN_MODL,CRM이탈예측,캠페인/CRM,CRM기타
361,M_CRM_LTRM_SEQCL_MNRT_CR,장기회사별물지물계약,캠페인/CRM,CRM기타
362,M_CRM_MMTCL_PS_CTM_CLS,자사별보유고객마감,캠페인/CRM,CRM기타
363,M_CRM_MTHY_ATND_CTM,월별유지고객,캠페인/CRM,CRM월별통계
364,M_CRM_MTHY_CTM_ACT_SPC,월별고객활동내역,캠페인/CRM,CRM월별통계
365,M_CRM_MTHY_CTM_CMP_CRST,월별고객보상현황,캠페인/CRM,CRM월별통계
366,M_CRM_MTHY_CTM_CNTRT_CRST,월별계약현황,캠페인/CRM,CRM월별통계
367,M_CRM_MTHY_CTM_PRSN_CRST_WRK,월별고객인원현황,캠페인/CRM,CRM월별통계
368,M_CRM_MTHY_CTM_PS_CR,월별계약파직원현황,캠페인/CRM,CRM월별통계
369,M_CRM_MTHY_FP_INFO,월별정보,캠페인/CRM,CRM월별통계
370,M_CRM_MTHY_HHD_RGT_CRST,월별세대타겟현황,캠페인/CRM,CRM월별통계
371,M_CRM_MTHY_HHD_TRGT_LIST,월별세대타겟리스트,캠페인/CRM,CRM월별통계
372,M_CRM_MTHY_HHDMB_LIST,월별세대원리스트,캠페인/CRM,CRM월별통계
373,M_CRM_MTHY_JSPL_LIST,월별가입설계리스트,캠페인/CRM,CRM월별통계
374,M_CRM_MTHY_LEVE_CR,월별이탈계약,캠페인/CRM,CRM월별통계
375,M_CRM_MTHY_LEVE_CR_GRD_LIST,월별이탈계약등급목록세,캠페인/CRM,CRM월별통계
376,M_CRM_MTHY_LEVE_CR_PRDN_LIST,월별이탈계약예측목록세,캠페인/CRM,CRM월별통계
377,M_CRM_MTHY_MKTG_CHN_ORGN,월별마케팅채널조직,캠페인/CRM,CRM월별통계
378,M_CRM_MTHY_PS_CR,월별보유계약,캠페인/CRM,CRM월별통계
379,M_CRM_MTHY_PSN_CTM_INFO,월별인고객정보,고객,고객기본정보
380,M_CRM_ORNCL_INFLW_CTM,조직별유입고객,캠페인/CRM,CRM조직별
381,M_CRM_ORNCL_LEVE_CTM,조직별이탈고객,캠페인/CRM,CRM조직별
382,M_CRM_ORNCL_LEVE_AD_IS_CTM,조직별이탈추가입고객,캠페인/CRM,CRM조직별
383,M_CRM_ORNCL_PS_CTM,조직별보유고객,캠페인/CRM,CRM조직별
384,M_CRM_ORNCL_PS_CTM_CRST,조직별보유고객현황,캠페인/CRM,CRM조직별
385,M_CRM_PRIO_ACES_CTM_CRST,우선접근고객현황,캠페인/CRM,CRM기타
386,M_CRM_PRIO_ACES_CTM_PNT_BJ,우선접근고객포인트대상,캠페인/CRM,CRM기타
387,M_CRM_PS_CR_CTM,보유약관고객,상품/담보,상품기본
388,M_CRM_PSS_CTM_ACT_CRST,가망고객현황,캠페인/CRM,CRM기타
389,M_CRM_PSS_CTM_TRGT_LIST,가망고객타겟리스트,캠페인/CRM,CRM기타
390,M_CRM_REACT_INFO_ANAL_ACT_CRST,반응정보분석활동현황,캠페인/CRM,CRM기타
391,M_CRM_REACT_INFO_ANAL_CRST,반응정보분석현황,캠페인/CRM,CRM기타
392,M_CRM_REACT_INFO_ANAL_LIST,반응정보분석리스트,캠페인/CRM,CRM기타
393,M_CRM_REC_TRGT_CTM_CRST,추천타겟고객현황,캠페인/CRM,CRM기타
394,M_CRM_SCTCL_CTM_ACT,가망고객활동,캠페인/CRM,CRM기타
395,M_CRM_SFA_PSS_CTM_ADM,CRM가망고객관리,영업/채널(SFA),가망고객관리
396,M_CRM_XLCL_CTM_ADM,우수영업가족고객관리,고객,고객기본정보
397,M_CUS_CTM_BZPS,고객자사,고객,고객기본정보
398,M_CUS_CTM_CNTAD,고객연락처,고객,고객연락처
399,M_CUS_CTM_RSO_CSF,고객주분류,고객,고객기본정보
400,M_ERL_LTRM_CLM_MTT,장기사고명세,사고/손해(클레임),사고접수/조사
401,M_ERL_LTRM_CR_MTT,장기계약명세,계약/보험계약,장기계약
402,M_FCR_CMINS_CR,일반보험계약,계약/보험계약,일반보험계약
403,M_FCR_GN_INCM_PRM,일반수입보험료,재무/정산,재무기타
404,M_FCR_MTHY_GN_INS_CR,월별일반보험계약,계약/보험계약,일반계약
405,M_FCR_GN_CVRCL_PFT_INDEX,일반상품담보별수익성지표,상품/담보,담보
406,M_LCR_IBNR_LTRM_DMGRT_RND,IBNR기손해율라운드,사고/손해(클레임),IBNR/준비금
407,M_LCR_LTINS_CR,장기계약관리,계약/보험계약,일반계약
408,M_LCR_LTRM_ADM_ATRCL_LIST,장기보험관리속성별리스트,기타,-
409,M_LCR_LTRM_CCL_WDR_CR,장기계좌해약계약,기타,-
410,M_LCR_LTRM_CR_CVR,장기계약담보,계약/보험계약,장기계약
411,M_LCR_LTRM_CR_UDRTK_JG_LIST,장기계약인수정역명세,계약/보험계약,장기계약
412,M_LCR_LTRM_CRDIS_RLPMI_MD_JS_INI,장기신용정보원발실손의보가입정보,계약/보험계약,장기계약
413,M_LCR_LTRM_DMGRT_CR,장기담당보발생,기타,-
414,M_LCR_LTRM_DMGRT_RND,장기손해율라운드,사고/손해(클레임),사고접수/조사
415,M_LCR_LTRM_INCM_PRM,장기수입보험료,재무/정산,재무기타
416,M_LCR_LTRM_RNWS_CVR_INPRM,장기갱신담보보수입보험료,상품/담보,담보
417,M_LCR_LTRM_NWCR_LIST,장기신계약명세,기타,-
418,M_LCR_LTRM_RDCH_CR_LIST,장기수령결과명세,기타,-
419,M_LCR_LTRM_CVR_INPRM,장기담보수입보험료,상품/담보,담보
420,M_LCR_LTRM_UD_CRDIS_PY_DT,장기사사신청지급금세,재무/정산,재무기타
421,M_LCR_LTRM_STS_BA_DA,장기심사통계기초자료,사고/손해(클레임),사고접수/조사
422,M_LCR_LTRM_LTINS_CR,월별장기보험계약,계약/보험계약,장기계약
423,M_LCR_MTHY_LTRM_CR_CVR,월별장기계약담보,계약/보험계약,장기계약
424,M_LCR_MTHY_PS_CR_CRST,월별보유고객현황,기타,-
425,M_LCR_RDCH_CR,승환계약,기타,-
426,M_LCR_RV_CR_CRST,부활계약현황,기타,-
427,M_LWT_DM_RD_RPTG_LIST,손해감소보고서명세,사고/손해(클레임),사고접수/조사
428,M_OLP_BZFML_DYB_PRSN_CRST,영업가족일별인원현황,조직/인사,영업가족인원
429,M_OLP_BZFML_MTHY_PRSN_CRST,영업가족월별인원현황,조직/인사,영업가족인원
430,M_OLP_OFFC_MTHY_BZFML_PRSN_CRST,점포활동별영업가족직원현황,조직/인사,영업가족인원
431,M_ORG_BZ_ORGN,영업조직,조직/인사,조직/기관
432,M_ORG_MTHY_BZ_ORGN,월별영업조직,조직/인사,조직/기관
433,M_ORG_ORG_LVL,기관레벨,조직/인사,조직/기관
434,M_ORG_ORG_ORDR,기관순서,조직/인사,조직/기관
435,M_ORG_STGY_BZ_ORGN,전략영업조직,조직/인사,조직/기관
436,M_SFA_ANAL_STS_ANAL_CRST,활동통계분석현황,영업/채널(SFA),SFA기타
437,M_SAM_BZ_FML_ACHV,영업가족실적,조직/인사,영업가족인원
438,M_SAM_BZ_FML_AW,영업가족수당,조직/인사,영업가족인원
439,M_SAM_BZ_FML_IC_CRST,영업가족수당현황,조직/인사,영업가족인원
440,M_SAM_BZFML_LIST,영업가족명세,조직/인사,조직기타
441,M_SAM_BZFML_PRDT_GRD_CRST,영업가족생산성등급현황,조직/인사,조직기타
442,M_SAM_CORE_CTM_LIST,CRM핵심고객리스트,캠페인/CRM,CRM기타
443,M_SAM_CRM_CTM_ADM_INDEX,CRM고객관리지표,캠페인/CRM,CRM기타
444,M_SAM_CRM_CTM_ADM_INDEX_DT,CRM고객관리지표상세,캠페인/CRM,CRM기타
445,M_SAM_DYB_BZFML_PRSN_CRST,일별영업가족인원현황,조직/인사,영업가족인원
446,M_SAM_FP_GNRZ_ADM,FP홈합관리,영업/채널(SFA),SFA기타
447,M_SAM_FP_STD_ACT_CRST,FP표준활동현황,영업/채널(SFA),SFA기타
448,M_SAM_GA_LNWCR_LIST,GA장기신계약명세,영업/채널(SFA),SFA기타
449,M_SAM_GA_STF_SRTR_ORGN,GA직원구조직,영업/채널(SFA),SFA기타
450,M_SAM_GN_RV,일반수납,조직/인사,조직기타
451,M_SAM_INT_PSS_CTM_LIST,소개가망고객명세,캠페인/CRM,CRM기타
452,M_SAM_INT_PRG_PRSN_CRST,도입진행원인원현황,조직/인사,조직기타
453,M_SAM_LNWCR_LIST,장기신계약명세,조직/인사,실적/수입보험료
454,M_SAM_LTRM_DMGRT_CRST,장기손해율현황,사고/손해(클레임),사고접수/조사
455,M_SAM_LTRM_NTOU_CTM_LIST,장기미터치고객리스트,조직/인사,조직기타
456,M_SAM_MKTG_CHN_ORGN,마케팅채널조직,조직/인사,조직기타
457,M_SAM_NW_ACT_ADM_VL_GD_CSF,신인활동통계관리평가상품분류,상품/담보,상품기본
458,M_SAM_ORNNMA,기관명,조직/인사,조직기타
459,M_SAM_PLZ_BZ_AV_CRST,트라지영업실적현황,조직/인사,조직기타
460,M_SAM_PSN_BZ_ORGN_INDEX,개인영업조직지표,조직/인사,조직기타
461,M_SAM_RPBL_APD_ADM_LIST,책임일확관리명세,조직/인사,조직기타
462,M_SAM_SFP_CR_CTM_CRCC_CRST,SFP DB고객계약제결현황,고객,고객기본정보
463,M_SAM_SFP_DB_CTM_CRCC_CRST,SFP DB고객계약제결현황,고객,고객기본정보
464,M_SAM_STF_CNTAD,직원연락처,조직/인사,직원
465,M_SAM_STF_SRTR_ORGN,직원구조직,조직/인사,직원
466,M_SAM_STYRT_RNMSY_CRST,정착률실명세현황,조직/인사,조직기타
467,M_SAM_STF_SRTR_ORGN,작원구조,조직/인사,직원
468,M_SAM_USR_AV_CRST,사용인실현황,조직/인사,조직기타
469,M_SAM_VL_WKDGR_ADM,W관리주자관리,조직/인사,조직기타
470,M_SFA_DALY_ESSN_TOU_TRGT_CRST,데일리필수터치타겟현황,영업/채널(SFA),SFA기타
471,M_SUS_ITIN_ADM_CTM_DMGRT,기기보유고객손해율,사고/손해(클레임),사고접수/조사
472,M_TM_CR_POM_CTM_LIST,자동POM고객리스트,기타,-
473,M_TM_LTRM_POM_CTM_LIST,자동POM고객리스트,기타,-
474,ORGN_LVL,조직레벨,조직/인사,조직/기관
475,SAM_ADP_ATPS,채용대상,조직/인사,채용/대리점
476,SAM_ADP_BJPS,채용대상,조직/인사,채용/대리점
477,SAM_AGY_CHRPS_ADM,대리점채용인사관리,조직/인사,채용/대리점
478,SAM_ASSO_INQ_REPLY_MTT,협회조회답보사항,조직/인사,조직기타
479,SAM_AW_CC_ACHV,수당산출실적,조직/인사,수당/급여
480,SAM_AW_CC_ACHV_STF,수당산출실적직원,조직/인사,수당/급여
481,SAM_BZ_CLS_DT,영업마감일자,조직/인사,조직기타
482,SAM_CSCL_AW_PY_BJ_STF,최수당지급대상직원,조직/인사,수당/급여
483,SAM_CSCL_AW_PY_BJ_STF,건물비비례수수납지급내역,조직/인사,수당/급여
484,SAM_CSCL_NPRPN_AW_PY_SPC,건물비비례수수납지급내역,조직/인사,수당/급여
485,SAM_EDU_NTD,교육이력,조직/인사,교육/자격
486,SAM_INCM_PRM_BZ_AV,수입보험료영업실적,조직/인사,실적/수입보험료
487,SAM_NTP_BZ_GDS_PFTRT,기관영업상품별이익률,상품/담보,상품기본
488,SAM_NTP_BZ_GDS_PFTRT,기관영업상품별이익율,상품/담보,상품기본
489,SAM_ORG_ADR_CRR,기관주소이력,조직/인사,조직/기관
490,SAM_ORG_ADR_CRR,기관주소이력,조직/인사,조직/기관
491,SAM_ORG_ATR_CH_CRR,기관속성변경이력,조직/인사,조직/기관
492,SAM_ORG_STR_CRR,기관구조이력,조직/인사,조직/기관
493,SAM_ORG_TLNO,기관전화번호,조직/인사,조직/기관
494,SAM_PF_CV_ACHV_CC_BSC,우대활성실적산출근거,조직/인사,조직기타
495,SAM_QUF_MTT,자격사항,조직/인사,교육/자격
496,SAM_RWPN_SPC,상벌내역,조직/인사,조직기타
497,SAM_STF,직원,조직/인사,직원
498,SAM_STF_ADDR,직원주소,조직/인사,직원
499,SAM_STF_CNTAD,직원연락처,조직/인사,직원
500,SAM_STF_PAFF_CRR,직원사이력,조직/인사,직원
501,SAM_STY_SUPT_CM,정착지원수수료,조직/인사,조직기타
502,SFA_BDL_BEFO_RQ_LIST,일괄사전신청리스트,영업/채널(SFA),SFA기타
503,SFA_BDL_BJ_CTM_LIST,일괄대상고객리스트,영업/채널(SFA),SFA기타
504,SFA_BDL_BJ_DM_SND_YN,일괄대상DM발송여부,영업/채널(SFA),SFA기타
505,SFA_BDL_BJ_CTM_ADR_CH,일괄대상고객주소변경,고객,고객주소/연락처
506,SFA_BZ_FML_CTM_AGR,영업가족고객동의,고객,영업가족고객
507,SFA_CMPG_ACT,캠페인활동,영업/채널(SFA),SFA캠페인
508,SFA_CMPG_BZ_TR_CTM,캠페인고객타겟고객,영업/채널(SFA),SFA캠페인
509,SFA_CMPG_CNTTS_COP_CN,캠페인 컨텐츠 구성 내용,영업/채널(SFA),SFA캠페인
510,SFA_CMPG_CNTTS_SCORE_ST,캠페인 컨텐츠 스코어 기준,영업/채널(SFA),SFA캠페인
511,SFA_CMPG_DM_SND_GD,캠페인DM발송상품,상품/담보,상품기본
512,SFA_CMPG_INFO,캠페인정보,영업/채널(SFA),SFA캠페인
513,SFA_CMPG_PRIO_TRGT_CTM,캠페인우선타겟고객,영업/채널(SFA),SFA캠페인
514,SFA_CMPG_SELF_TRGT_CTM,캠페인본인타겟고객,영업/채널(SFA),SFA캠페인
515,SFA_CMPG_TRGT_CND,캠페인타겟조건,영업/채널(SFA),SFA캠페인
516,SFA_CMPG_TRGT_CTM,캠페인타겟고객,영업/채널(SFA),SFA캠페인
517,SFA_CMPG_CTM_XCPT,캠페인타겟고객,영업/채널(SFA),SFA캠페인
518,SFA_CMPG_ONL_INP_CTM,캠페인온라인입력고객,영업/채널(SFA),SFA캠페인
519,SFA_CMPG_PS_CR,캠페인보유계약,영업/채널(SFA),SFA캠페인
520,SFA_CMPG_VIS_ACT,캠페인방문활동,영업/채널(SFA),SFA캠페인
521,SFA_CMPG_VIS_ACT_INT_CTM,캠페인방문활동소개고객,영업/채널(SFA),SFA캠페인
522,SFA_CR_ND_LIST,자동자가명세,영업/채널(SFA),SFA기타
523,SFA_CR_OTCM_ND,자동자사만기,영업/채널(SFA),SFA기타
524,SFA_CR_TA_CRST,계약이관현황,영업/채널(SFA),SFA기타
525,SFA_DALY_ESSN_TOU_NTTLK,Daily필수터치알림톡,영업/채널(SFA),SFA기타
526,SFA_DALY_ESSN_TOU_TP,Daily필수터치유형,영업/채널(SFA),SFA기타
527,SFA_DM_SND_ENTP_TS,DM발송업무전송,영업/채널(SFA),DM발송
528,SFA_DM_SND_LMIT_ADM,DM발송제한관리,영업/채널(SFA),DM발송
529,SFA_DM_SNDER_ER_ADR,DM발송오류주소,영업/채널(SFA),DM발송
530,SFA_DM_SNDER_ER_DT,DM발송오류상세,영업/채널(SFA),DM발송
531,SFA_GNANL_BA,보장분석기본,영업/채널(SFA),보장분석
532,SFA_GNANL_CCAMT_OUT,보장분석산출금액출력,영업/채널(SFA),보장분석
533,SFA_GNANL_CTM,보장분석고객,영업/채널(SFA),보장분석
534,SFA_GNANL_CVR,보장분석담보,상품/담보,담보
535,SFA_GNANL_GD_CVR_CC,보장분석상품담보보산출,상품/담보,담보
536,SFA_GNANL_GD_CVR_PL,보장분석상품담보보설계,상품/담보,담보
537,SFA_GNANL_GD_PL,보장분석상품설계,상품/담보,상품기본
538,SFA_GNANL_PL,보장분석설계,영업/채널(SFA),보장분석
539,SFA_GNANL_SND_SRV_LOG,보장분석발송서비스로그,영업/채널(SFA),보장분석
540,SFA_HHDCL_TRGT_CTM,세대별타겟고객,영업/채널(SFA),SFA기타
541,SFA_INC_NWFAC_CTM,재직신인고객,영업/채널(SFA),SFA기타
542,SFA_INCPL_SL_OWN_DGNIT,불완전판매자가진단항목,사고/손해(클레임),사고접수/조사
543,SFA_ITIN_ADM_SND_RQ,여정관리발송신청관리,영업/채널(SFA),여정관리
544,SFA_ITIN_ADM_SND_RQ_RSV,여정관리발송신청예약,영업/채널(SFA),여정관리
545,SFA_MENU_CNO_CRR_ADM,메뉴접속이력관리,영업/채널(SFA),SFA기타
546,SFA_MOBI_DM_SND_TLM,모바일DM발송전문,영업/채널(SFA),SFA기타
547,SFA_NTTLK_SND_BJ,알림특별발송대상,영업/채널(SFA),SFA기타
548,SFA_NWFAC_SND_GNAMT_MODL,최전본정갱신대모델,영업/채널(SFA),SFA기타
549,SFA_ORGN_BFDY_INFO,조직전일정보,영업/채널(SFA),SFA기타
550,SFA_OPTM_IS_CT,타사가입대수,영업/채널(SFA),SFA기타
551,SFA_OTCM_IS_CT,완전판매유계약,영업/채널(SFA),SFA기타
552,SFA_PECT_SL_ATND_CR,보유고객조회로그,영업/채널(SFA),SFA기타
553,SFA_PSCTM_INQ_LOG,보유고객조회로그,영업/채널(SFA),SFA기타
554,SFA_PSS_CTM_ACT,가망고객활동,영업/채널(SFA),가망고객관리
555,SFA_PSS_CTM_ACT_BJ,가망고객활동대상,영업/채널(SFA),가망고객관리
556,SFA_PSS_CTM_ACT_CSF,가망고객활동분류,영업/채널(SFA),가망고객관리
557,SFA_REACT_INFO_LOG,반응정보로그,영업/채널(SFA),SFA기타
558,SFA_REC_TRGT,추천타겟,영업/채널(SFA),SFA기타
559,SFA_RLTN_TRGT_ONL_INP,연계타겟온라인입력,영업/채널(SFA),SFA기타
560,SFA_SCR_US_LOG,화면사용로그,영업/채널(SFA),SFA기타
561,SFA_SCRP_CTM_AGRE_CRR,스크래핑고객동의이력,영업/채널(SFA),SFA기타
562,SFA_SCRP_CTM_BA,스크래핑고객기본,영업/채널(SFA),SFA기타
563,SFA_SELF_ACT_BJ_CTM,본인활동대상고객,영업/채널(SFA),SFA기타
564,SFA_SFP_COOP_PLAC,SFP제휴,영업/채널(SFA),SFP관리
565,SFA_SFP_CTM,SFP고객,영업/채널(SFA),SFP관리
566,SFA_SFP_CTM_CALL_LOG,SFP고객콜로그,영업/채널(SFA),SFP관리
567,SFA_SFP_CTM_CNTRT,SFP고객접촉,영업/채널(SFA),SFP관리
568,SFA_SFP_CTM_CNTRT_CRR,SFP고객접촉이력,영업/채널(SFA),SFP관리
569,SFA_SFP_CTM_CRDIU_AGRE,SFP고객신용정보활동동의,고객,고객동의/정보관리
570,SFA_SFP_INFLW,SFP유입,영업/채널(SFA),SFP관리
571,SFA_SFP_LGIN_CRST,SFP관련도고인현황,영업/채널(SFA),SFP관리
572,SFA_SFP_LIST,SFP리스트,영업/채널(SFA),SFP관리
573,SFA_SFP_LIST_ALLCT,SFP리스트할당,영업/채널(SFA),SFP관리
574,SFA_SFP_LIST_GP,SFP리스트그룹,영업/채널(SFA),SFP관리
575,SFA_SFP_LIST_META,SFP리스트메타,영업/채널(SFA),SFP관리
576,SFA_SFP_ORGN_ACT_STS,SFP조직활동통계,영업/채널(SFA),SFP관리
577,SFA_SFP_SCHD,SFP일정,영업/채널(SFA),SFP관리
578,SFA_SFP_TASK,SFP태스크,영업/채널(SFA),SFP관리
579,SFA_SFP_XLCL_CALL,SFP우수콜,영업/채널(SFA),SFP관리
580,SFA_SMNR_INFO,세미나정보,영업/채널(SFA),SFA기타
581,SFA_SMRT_GN_ANAL_OUT_LOG,스마트보장분석출력로그,영업/채널(SFA),SFA기타
582,SFA_SP_STACT_CRR,SP표준활동이력,영업/채널(SFA),SFA기타
583,SFA_SP_STACT_CRR_STS,SP표준활동이력통계,영업/채널(SFA),SFA기타
584,SFA_TA_MENO,,영업/채널(SFA),SFA기타
585,SFA_THCP_CVR_GN_CND,담사담보보장조건,상품/담보,담보
586,SFA_VIS_TOU_TRGT_CTM,유량고객관리,영업/채널(SFA),방문활동
587,SFA_XLCL_CTM_ADM,유량고객리스트관리,영업/채널(SFA),우수고객관리
588,SFA_XLCL_CTM_UST_ADM,유수고객리스트관리,영업/채널(SFA),우수고객관리
589,SFA_XLCL_CTM_QTR_ADM,유량고객분기관리,영업/채널(SFA),우수고객관리
590,SFA_XLCL_CTM_VIS_TOU_ADM,유량방문고객관리,영업/채널(SFA),우수고객관리
591,SFA_XLCL_CTM_VIS_TOU_ADM,유량방문터치관리,영업/채널(SFA),우수고객관리
592,SYS_CODE,시스템관리서비스공통코드,공통/마스터,코드/마스터
593,T_CRM_SFA_BFDY_ORGN_STF_INFO,전일조직직원정보,영업/채널(SFA),SFA기타
594,T_CRM_SFA_ITIN_ADM_CTM,여정관리고객,영업/채널(SFA),여정관리
595,T_CRM_SFA_ITIN_ADM_SND_RQ_RSV,여정관리발송신청예약,영업/채널(SFA),여정관리
596,T_PUSH_USER_INFO,푸쉬서비스 유저,공통/마스터,시스템/웹
597,TB_CALC_AMT,CAR_자동설계_보험료산출테이블/계약_마스터_관리,공통/마스터,공통기타
598,TB_CALL_LOG,콜로그,공통/마스터,상담/콜이력
599,TB_CNSLT_DTHIST,상담이력,공통/마스터,상담/콜이력
600,TB_CNSLT_HIST,콜이력,공통/마스터,상담/콜이력
601,TB_CNSLT_TYPE,상담유형,공통/마스터,상담/콜이력
602,TB_CODEBOOK,DBM-정보관리(공통) 코드북,공통/마스터,코드/마스터
603,TB_COMMENT,CRS_고객관리_고객접촉이력,기타,-
604,TB_CONTACT,CRS_고객관리_고객접촉이력,고객,고객기본정보
605,TB_COOP,기관연계고객정보,고객,고객기본정보
606,TB_CTM_CRDIU_AGRE,CRS_고객관리_고객신용정보활동동의,고객,고객동의/정보관리
607,TB_CUSTOMER,CRS_고객관리_고마스터,고객,고객기본정보
608,TB_DHER_TA_RQ,하자자여신청,공통/마스터,공통기타
609,TB_EASYSAVE_CRINFO,이지세이브차량정보,공통/마스터,공통기타
610,TB_HW_GROUP,그룹사 직원정보,조직/인사,조직기타
611,TB_INFLOW,DBM-정보관리(공통) 정보유입마스터,공통/마스터,공통기타
612,TB_INFDAGREE,DBM-정보관리(공통) 정보동의,공통/마스터,공통기타
613,TB_ISPL_RELPC,가입설계관계자,상품/담보,상품기본
614,TB_LIST,CMP_캠페인관리(공통) 리스트,캠페인/CRM,공통캠페인리스트
615,TB_LIST_ALLCT_CRR,CMP_캠페인관리(공통) 리스트목록,캠페인/CRM,공통캠페인리스트
616,TB_LIST_GROUP,CMP_캠페인관리(공통) 리스트그룹,캠페인/CRM,공통캠페인리스트
617,TB_LIST_INS_CR,장기보험계약,계약/보험계약,일반계약
618,TB_LIST_GROUP,CMP_캠페인관리(공통) 리스트그룹,캠페인/CRM,공통캠페인리스트
619,TB_LNG_INS_CR,장기설계계약,계약/보험계약,일반계약
620,TB_LNG_INS_PL,장기설계계약,계약/보험계약,일반계약
621,TB_SCHEDULER,CRS_고객관리리 스케쥴러,공통/마스터,공통기타
622,TB_TASK,CMP_캠페인관리(공통) TASK,캠페인/CRM,공통캠페인리스트
623,TB_TGT_CR,대상계약,캠페인/CRM,공통캠페인리스트
624,TB_USERMAST_CMT,사용자마스터,공통/마스터,공통기타
625,TBS_VOC_CNTRCT_INFO,계약관련전자,상품/담보,상품기본
626,TBS_VOC_MASTER,VOC마스터,공통/마스터,VOC
627,TBS_VOC_MASTER_INFO,VOC담당직원,조직/인사,조직기타
628,TBS_VOC_PROCESS,VOC처리,공통/마스터,VOC
629,TB_CMS_CGI_CTM_LIST,CMS캐롯고객리스트,기타,-
630,U_CMS_POM_XCPT_CND,CMSPOM제외조건,캠페인/CRM,CRM기타
631,U_CRM_CGI_CR_INS_CR,캐롯자동차보험계약,계약/보험계약,일반계약
632,U_CRM_RTMS_SCV_APT_TRADE_DEV,아파트매매 실거래 상세 자료,공통/마스터,공통기타
633,U_FCR_NTPBZ_INSTM_XP_DMGRT,기업업무별종목별예상손해률,사고/손해(클레임),사고접수/조사
634,U_SAM_INS_CRNTC_CHR_SND_LIST,보험계약대출안내문자발송대상,계약/보험계약,일반계약
635,WB_BSU_EVENT_PT,업무지원URL이벤트참여,공통/마스터,시스템/웹
636,WB_CTM,고객,고객,고객기본정보
637,WB_LGIN_LOG,로그인로그,공통/마스터,시스템/웹
638,INS_HP_SMAMT_STM_RQ,휴대폰소액결제신청,자동차보험,자동차기타
639,COM_NTTLK_SND_CRR,알림톡발송이력,공통/마스터,공통관리
640,INS_LTRM_XCPT_DL_BJ,장기예외처리대상,기타,-
641,INS_CM_CN_CR_ATTF_RQ,당월 해지계약 자동이체 신청,기타,-
